(1.79069, -0.74399)
(1.86309, -0.74398)
(1.93550, -0.74376)
(2.00769, -0.74174)
(2.05021, -0.73570)
(2.12097, -0.72833)
(2.18600, -0.71009)
(2.25333, -0.68567)
(2.31468, -0.65069)
(2.36863, -0.61137)
(2.42027, -0.56106)
(2.46531, -0.50783)
(2.50672, -0.45209)
(2.53739, -0.38849)
(2.55545, -0.31913)
(2.55922, -0.24733)
(2.55990, -0.17494)
(2.55998, -0.10254)
(2.55999, -0.03013)
(2.55994, 0.04228)
(2.55942, 0.11468)
(2.55671, 0.18695)
(2.55017, 0.25894)
(2.53754, 0.32664)
(2.52126, 0.39188)
(2.50789, 0.46274)
(2.48883, 0.52894)
(2.46961, 0.59499)
(2.44954, 0.65908)
(2.42656, 0.72560)
(2.40087, 0.79171)
(2.37686, 0.85654)
(2.34579, 0.92168)
(2.31773, 0.98630)
(2.28491, 1.05047)
(2.25141, 1.11424)
(2.21059, 1.17207)
(2.17666, 1.22833)
(2.14032, 1.28588)
(2.10134, 1.34634)
(2.05532, 1.40137)
(2.01087, 1.45523)
(1.96658, 1.50922)
(1.92144, 1.56242)
(1.87121, 1.61448)
(1.82014, 1.66581)
(1.76885, 1.71692)
(1.71675, 1.76711)
(1.66349, 1.81219)
(1.60943, 1.85640)
(1.55482, 1.89989)
(1.49809, 1.94124)
(1.44030, 1.98145)
(1.38138, 2.02345)
(1.32153, 2.06163)
(1.26036, 2.09762)
(1.19635, 2.13056)
(1.13326, 2.16334)
(1.06809, 2.19039)
(1.00298, 2.22140)
(0.93631, 2.24621)
(0.87463, 2.27546)
(0.84461, 2.31156)
(0.86847, 2.37773)
(0.88559, 2.44557)
(0.88898, 2.51733)
(0.88596, 2.58919)
(0.87204, 2.65778)
(0.86478, 2.71585)
(0.92762, 2.75148)
(0.98824, 2.78811)
(1.05446, 2.81296)
(1.12155, 2.83554)
(1.18598, 2.85461)
(1.25496, 2.87179)
(1.31226, 2.90793)
(1.35290, 2.96236)
(1.37330, 3.02490)
(1.37298, 3.09335)
(1.37270, 3.16450)
(1.38050, 3.23284)
(1.39147, 3.30088)
(1.40795, 3.36744)
(1.43247, 3.43366)
(1.46541, 3.49774)
(1.49730, 3.56220)
(1.51158, 3.62671)
(1.49656, 3.69113)
(1.45617, 3.74610)
(1.39720, 3.77765)
(1.32765, 3.78087)
(1.26266, 3.76747)
(1.19463, 3.75644)
(1.12627, 3.74839)
(1.05421, 3.74864)
(0.98579, 3.75713)
(0.91443, 3.76762)
(0.84959, 3.78552)
(0.78143, 3.80119)
(0.71096, 3.79928)
(0.64981, 3.77427)
(0.59830, 3.72851)
(0.56152, 3.66746)
(0.52718, 3.60381)
(0.48906, 3.54327)
(0.44839, 3.48841)
(0.39768, 3.43728)
(0.34227, 3.39536)
(0.29052, 3.36784)
(0.23580, 3.41141)
(0.17135, 3.44253)
(0.10421, 3.46326)
(0.03637, 3.47329)
(-0.03564, 3.47330)
(-0.10350, 3.46333)
(-0.17033, 3.44301)
(-0.23477, 3.41187)
(-0.28979, 3.36875)
(-0.34132, 3.39480)
(-0.39680, 3.43655)
(-0.44722, 3.48785)
(-0.48809, 3.54477)
(-0.52668, 3.60538)
(-0.55923, 3.66291)
(-0.59397, 3.72451)
(-0.64295, 3.77333)
(-0.70702, 3.79923)
(-0.77740, 3.80087)
(-0.84205, 3.78560)
(-0.91036, 3.76779)
(-0.98179, 3.75742)
(-1.05022, 3.74862)
(-1.12227, 3.74847)
(-1.19061, 3.75652)
(-1.25858, 3.76775)
(-1.32364, 3.78135)
(-1.39371, 3.77836)
(-1.45374, 3.74866)
(-1.49558, 3.69467)
(-1.51193, 3.63032)
(-1.50026, 3.56486)
(-1.47091, 3.50013)
(-1.43552, 3.43804)
(-1.41081, 3.37225)
(-1.39403, 3.30282)
(-1.38108, 3.23473)
(-1.37289, 3.16629)
(-1.37261, 3.09481)
(-1.37367, 3.02669)
(-1.35596, 2.96286)
(-1.31378, 2.90899)
(-1.25672, 2.87229)
(-1.19117, 2.85540)
(-1.12376, 2.83765)
(-1.05610, 2.81455)
(-0.98919, 2.79018)
(-0.92716, 2.75432)
(-0.86561, 2.71641)
(-0.87236, 2.65882)
(-0.88613, 2.59021)
(-0.88903, 2.51831)
(-0.88560, 2.44655)
(-0.86840, 2.37872)
(-0.84510, 2.31243)
(-0.86753, 2.26723)
(-0.93642, 2.24609)
(-1.00167, 2.21687)
(-1.06687, 2.18999)
(-1.13281, 2.16451)
(-1.19846, 2.13434)
(-1.25997, 2.09880)
(-1.32105, 2.06262)
(-1.38145, 2.02647)
(-1.43533, 1.98781)
(-1.49549, 1.94986)
(-1.55121, 1.90497)
(-1.60527, 1.86075)
(-1.65929, 1.81649)
(-1.71251, 1.77136)
(-1.76457, 1.72113)
(-1.81589, 1.67005)
(-1.86701, 1.61877)
(-1.91719, 1.56666)
(-1.96225, 1.51340)
(-2.00671, 1.45951)
(-2.05425, 1.40491)
(-2.10091, 1.34998)
(-2.14203, 1.29172)
(-2.17960, 1.23049)
(-2.21978, 1.17076)
(-2.25394, 1.10712)
(-2.28599, 1.04222)
(-2.31530, 0.97856)
(-2.34810, 0.91406)
(-2.37886, 0.84931)
(-2.40563, 0.78338)
(-2.42927, 0.71834)
(-2.44988, 0.65443)
(-2.46979, 0.59028)
(-2.49004, 0.52267)
(-2.50870, 0.45820)
(-2.52359, 0.39185)
(-2.53736, 0.32245)
(-2.55053, 0.25408)
(-2.55736, 0.18216)
(-2.55955, 0.10988)
(-2.55994, 0.03748)
(-2.55999, -0.03493)
(-2.55999, -0.10734)
(-2.55993, -0.17974)
(-2.55916, -0.25213)
(-2.55523, -0.32392)
(-2.53591, -0.39300)
(-2.50398, -0.45591)
(-2.46348, -0.51192)
(-2.41768, -0.56392)
(-2.36598, -0.61313)
(-2.31120, -0.65678)
(-2.24749, -0.68906)
(-2.18073, -0.71277)
(-2.11463, -0.73153)
(-2.04671, -0.74154)
(-1.97450, -0.74366)
(-1.90210, -0.74396)
(-1.82969, -0.74399)
(-1.75728, -0.74399)
(-1.68488, -0.74400)
(-1.61247, -0.74400)
(-1.54006, -0.74400)
(-1.46765, -0.74400)
(-1.39525, -0.74400)
(-1.32284, -0.74400)
(-1.25043, -0.74400)
(-1.17802, -0.74400)
(-1.10561, -0.74400)
(-1.03321, -0.74400)
(-0.96080, -0.74400)
(-0.88839, -0.74400)
(-0.81598, -0.74400)
(-0.74357, -0.74400)
(-0.67117, -0.74400)
(-0.59876, -0.74400)
(-0.52635, -0.74400)
(-0.45394, -0.74400)
(-0.38154, -0.74400)
(-0.30913, -0.74400)
(-0.23672, -0.74400)
(-0.16431, -0.74400)
(-0.09191, -0.74400)
(-0.01950, -0.74400)
(0.05290, -0.74400)
(0.12531, -0.74400)
(0.19772, -0.74400)
(0.27012, -0.74400)
(0.34253, -0.74400)
(0.41494, -0.74400)
(0.48735, -0.74400)
(0.55975, -0.74400)
(0.63216, -0.74400)
(0.70457, -0.74400)
(0.77698, -0.74400)
(0.84938, -0.74400)
(0.92179, -0.74400)
(0.99420, -0.74400)
(1.06661, -0.74400)
(1.13902, -0.74400)
(1.21142, -0.74400)
(1.28383, -0.74400)
(1.35624, -0.74400)
(1.42865, -0.74400)
(1.50105, -0.74400)
(1.57346, -0.74400)
(1.64587, -0.74400)
